45 1574
1 2 33
1 3 3
1 4 63
1 5 13
1 7 42
1 8 33
1 9 2
1 10 17
1 11 89
1 12 94
1 13 29
1 14 32
1 15 7
1 16 26
1 17 62
1 18 21
1 19 13
1 20 72
1 21 63
1 22 36
1 25 89
1 26 25
1 28 42
1 29 40
1 30 78
1 32 3
1 34 67
1 35 4
1 36 14
1 37 28
1 38 28
1 40 20
1 41 3
1 43 18
1 44 10
2 3 17
2 4 15
2 5 45
2 6 2
2 7 22
2 8 24
2 9 51
2 11 81
2 12 33
2 13 47
2 14 82
2 17 31
2 18 68
2 19 87
2 20 1
2 21 13
2 22 5
2 24 18
2 25 9
2 26 67
2 27 91
2 28 24
2 29 34
2 30 27
2 31 13
2 32 44
2 33 71
2 34 91
2 35 80
2 36 29
2 37 24
2 38 36
2 39 8
2 40 76
2 42 98
2 44 79
3 1 6
3 2 22
3 4 3
3 5 28
3 6 38
3 8 77
3 9 5
3 10 4
3 11 34
3 12 53
3 13 86
3 14 54
3 15 25
3 18 69
3 19 1
3 20 6
3 21 12
3 22 100
3 23 46
3 24 94
3 25 24
3 26 5
3 28 79
3 29 3
3 30 16
3 31 36
3 32 12
3 33 21
3 35 26
3 36 54
3 37 12
3 38 60
3 40 15
3 41 29
3 42 17
3 43 45
3 44 10
3 45 23
4 1 30
4 3 28
4 5 43
4 6 16
4 7 33
4 9 14
4 10 24
4 11 38
4 12 90
4 13 31
4 14 43
4 15 32
4 17 17
4 18 99
4 19 35
4 20 5
4 21 16
4 22 11
4 25 5
4 26 13
4 27 19
4 28 73
4 29 33
4 30 44
4 31 30
4 32 15
4 33 17
4 36 45
4 38 40
4 39 3
4 40 9
4 41 57
4 42 39
4 43 18
4 44 27
4 45 70
5 1 90
5 2 95
5 3 1
5 4 26
5 6 4
5 7 15
5 9 98
5 10 32
5 11 85
5 12 38
5 13 91
5 14 44
5 16 18
5 17 6
5 18 87
5 19 7
5 20 13
5 21 79
5 23 35
5 24 16
5 26 14
5 27 70
5 30 22
5 31 12
5 32 34
5 33 37
5 35 89
5 37 60
5 38 2
5 39 37
5 42 29
5 43 36
5 45 17
6 1 38
6 2 43
6 3 17
6 5 43
6 7 48
6 8 84
6 9 19
6 12 49
6 13 25
6 15 39
6 16 24
6 17 1
6 18 17
6 22 31
6 23 36
6 24 66
6 25 19
6 26 88
6 27 19
6 28 29
6 29 12
6 30 14
6 32 77
6 34 29
6 35 20
6 36 10
6 37 87
6 38 54
6 39 29
6 40 58
6 41 37
6 42 39
6 43 27
6 44 10
7 1 2
7 2 29
7 3 17
7 5 36
7 6 80
7 8 85
7 9 22
7 10 49
7 11 9
7 14 28
7 15 40
7 16 35
7 18 36
7 20 33
7 21 86
7 22 92
7 23 96
7 24 11
7 25 40
7 27 23
7 28 51
7 30 59
7 33 4
7 35 2
7 36 81
7 37 1
7 39 81
7 41 17
7 42 33
7 44 90
7 45 27
8 1 31
8 3 8
